title,authors,author_affiliations,publication_year,publication_title,pdf_url,doi,access_status
EXI-Net: EXplicitly/Implicitly Conditioned Network for Multiple Environment Sim-to-Real Transfer,Takayuki Murooka; Masashi Hamaya; Felix von Drigalski; Kazutoshi Tanaka; Yoshihisa Ijiri,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/murooka21a/murooka21a.pdf,,Открыто
Self-Supervised Object-in-Gripper Segmentation from Robotic Motions,Wout Boerdijk; Martin Sundermeyer; Maximilian Durner; Rudolph Triebel,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/boerdijk21a/boerdijk21a.pdf,,Открыто
MELD: Meta-Reinforcement Learning from Images via Latent State Models,Zihao Zhao; Anusha Nagabandi; Kate Rakelly; Chelsea Finn; Sergey Levine,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/zhao21d/zhao21d.pdf,,Открыто
Learning from Suboptimal Demonstration via Self-Supervised Reward Regression,Letian Chen; Rohan Paleja; Matthew Gombolay,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/chen21b/chen21b.pdf,,Открыто
Stein Variational Model Predictive Control,Alexander Lambert; Fabio Ramos; Byron Boots; Dieter Fox; Adam Fishman,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/lambert21a/lambert21a.pdf,,Открыто
Learning Interactively to Resolve Ambiguity in Reference Frame Selection,Giovanni Franzese; Carlos Celemin; Jens Kober,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/franzese21a/franzese21a.pdf,,Открыто
Learning Trajectories for Visual-Inertial System Calibration via Model-based Heuristic Deep Reinforcement Learning,Le Chen; Yunke Ao; Florian Tschopp; Andrei Cramariuc; Michel Breyer; Jen Jen Chung; Roland Siegwart; Cesar Cadena,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/chen21c/chen21c.pdf,,Открыто
A User’s Guide to Calibrating Robotic Simulators,Bhairav Mehta; Ankur Handa; Dieter Fox; Fabio Ramos,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/mehta21a/mehta21a.pdf,,Открыто
Learning Stability Certificates from Data,Nicholas Boffi; Stephen Tu; Nikolai Matni; Jean-Jacques Slotine; Vikas Sindhwani,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/boffi21a/boffi21a.pdf,,Открыто
Learning Hybrid Control Barrier Functions from Data,Lars Lindemann; Haimin Hu; Alexander Robey; Hanwen Zhang; Dimos Dimarogonas; Stephen Tu; Nikolai Matni,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/lindemann21a/lindemann21a.pdf,,Открыто
Map-Adaptive Goal-Based Trajectory Prediction,Lingyao Zhang; Po-Hsun Su; Jerrick Hoang; Galen Clark Haynes; Micol Marchetti-Bowick,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/zhang21a/zhang21a.pdf,,Открыто
The RobotSlang Benchmark: Dialog-guided Robot Localization and Navigation,Shurjo Banerjee; Jesse Thomason; Jason Corso,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/banerjee21a/banerjee21a.pdf,,Открыто
The Emergence of Adversarial Communication in Multi-Agent Reinforcement Learning,Jan Blumenkamp; Amanda Prorok,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/blumenkamp21a/blumenkamp21a.pdf,,Открыто
Learning rich touch representations through cross-modal self-supervision,Martina Zambelli; Yusuf Aytar; Francesco Visin; Yuxiang Zhou; Raia Hadsell,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/zambelli21a/zambelli21a.pdf,,Открыто
Generalization Guarantees for Imitation Learning,Allen Ren; Sushant Veer; Anirudha Majumdar,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/ren21a/ren21a.pdf,,Открыто
Multi-Modal Anomaly Detection for Unstructured and Uncertain Environments,Tianchen Ji; Sri Theja Vuppala; Girish Chowdhary; Katherine Driggs-Campbell,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/ji21a/ji21a.pdf,,Открыто
Generative adversarial training of product of policies for robust and adaptive movement primitives,Emmanuel Pignat; Hakan Girgin; Sylvain Calinon,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/pignat21a/pignat21a.pdf,,Открыто
Robot Action Selection Learning via Layered Dimension Informed Program Synthesis,Jarrett Holtz; Arjun Guha; Joydeep Biswas,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/holtz21a/holtz21a.pdf,,Открыто
Policy learning in SE(3) action spaces,Dian Wang; Colin Kohler; Robert Platt,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/wang21f/wang21f.pdf,,Открыто
Amodal 3D Reconstruction for Robotic Manipulation via Stability and Connectivity,William Agnew; Christopher Xie; Aaron Walsman; Octavian Murad; Yubo Wang; Pedro Domingos); Siddhartha Srinivasa,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/agnew21a/agnew21a.pdf,,Открыто
Learning an Expert Skill-Space for Replanning Dynamic Quadruped Locomotion over Obstacles,David Surovik; Oliwier Melon; Mathieu Geisert; Maurice Fallon; Ioannis Havoutis,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/surovik21a/surovik21a.pdf,,Открыто
Learning Certified Control Using Contraction Metric,Dawei Sun; Susmit Jha; Chuchu Fan,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/sun21b/sun21b.pdf,,Открыто
